net balance,SP,BofA,MCSI
-3.23,0.19,0.54,-0.44
3.95,-0.90,0.76,0.05
3.18,0.56,-0.38,-1.03
1.63,-0.14,-0.86,-0.28
4.51,0.15,0.23,1.20
-0.68,0.97,-0.25,0.06
3.57,0.04,0.19,0.17
-2.75,-0.47,0.31,-0.33
-0.15,-0.94,0.39,0.55
0.89,0.37,1.14,0.34
-0.42,0.38,-0.75,-0.80
-2.84,-0.65,-0.12,0.75
-0.98,0.81,-0.24,-0.95
-0.35,0.24,0.13,-0.09
-0.15,0.42,-0.68,-1.02
-3.57,#N/A,0.67,-0.87
-3.72,#N/A,0.39,0.39
-3.08,-0.11,-0.10,-1.07
0.00,0.54,0.73,-0.69
-2.61,0.18,0.19,0.16
-3.36,0.07,0.44,-0.35
-2.07,-0.04,-0.14,1.10
-1.04,0.19,0.41,-0.16
-5.79,0.65,0.13,-1.03
-1.82,0.46,-0.75,1.70
-0.02,0.09,0.60,-0.70
0.94,-0.02,0.27,0.12
-2.18,-0.35,0.10,-0.34
-8.98,-0.71,-0.09,-0.49
0.84,0.31,0.20,-0.21
-2.00,0.08,0.26,0.63
-0.55,0.22,-0.07,-0.46
-4.30,0.77,0.54,-0.64
-0.80,0.13,-0.17,-0.87
-4.35,0.17,-0.66,0.87
2.92,-0.01,0.04,-0.60
3.39,-0.64,-0.15,0.22
3.95,0.49,-0.08,1.65
-1.32,-0.12,0.86,1.42
0.00,0.19,0.20,0.48
-0.47,-0.04,-0.36,-0.18
-2.18,0.67,-0.14,-0.18
-0.80,0.07,0.02,0.01
1.43,0.55,0.50,-0.34
9.41,#N/A,-0.46,-0.60
6.42,#N/A,-0.02,1.57
0.00,-0.70,0.26,0.50
2.15,0.46,0.11,-0.59
-0.48,-0.41,0.36,-1.16
-4.15,0.15,0.32,-0.38
2.58,0.48,0.28,0.11
3.18,-0.19,0.05,1.45
0.45,0.42,-0.13,0.32
0.43,-1.18,0.77,-0.16
3.62,1.03,-0.27,-0.52
1.84,-0.23,-0.04,-0.47
1.75,0.50,-0.22,-0.74
2.40,0.18,0.42,-0.85
-3.96,0.05,-0.47,0.94
-1.86,-0.48,-0.83,-0.16
2.27,0.03,0.04,0.35
2.65,-0.45,0.53,1.09
-1.04,0.01,-0.70,-0.24
6.16,-2.00,-0.20,1.74
2.34,-0.29,0.25,0.61
-3.05,0.72,0.21,0.02
0.86,-0.97,0.44,0.24
-2.08,0.00,-0.42,-0.69
-0.67,-0.56,-0.01,-0.22
4.38,1.15,-0.32,0.40
4.86,0.28,-0.40,0.97
-2.20,-0.16,0.64,-0.02
2.27,0.67,0.36,-0.25
-0.47,0.43,-0.59,0.18
0.17,-0.01,0.71,-0.88
0.52,0.85,0.00,-0.63
-2.97,0.50,-0.13,-0.27
1.39,0.25,-0.29,-0.10
-5.28,0.29,-0.32,-0.29
0.23,-0.20,0.11,0.01
-0.92,0.48,0.23,0.02
9.77,0.11,0.09,-0.03
2.03,0.00,0.01,-0.13
-2.15,-0.17,0.01,0.52
1.12,0.33,0.16,0.21
-1.45,#N/A,0.16,-0.56
-1.47,#N/A,0.68,-0.97
1.24,-0.08,0.11,0.29
-0.74,-0.15,-0.23,0.97
2.47,0.50,0.21,0.00
4.24,-0.31,-0.07,0.47
0.00,-0.65,0.04,-0.89
-1.39,0.36,0.28,-0.42
0.35,0.09,0.24,0.16
1.02,-0.60,0.01,-0.18
0.00,-0.07,0.33,0.04
-1.39,0.75,0.08,-0.13
0.00,0.13,-0.32,0.33
2.05,0.49,-0.14,-0.86
0.00,-0.05,-0.35,-0.99
0.47,-0.80,-0.59,1.09
-0.69,-0.58,0.15,-0.23
1.64,0.78,0.34,-0.25
2.08,-1.62,-0.10,0.81
-0.33,0.86,-0.31,0.15
1.00,-0.25,-0.24,-0.43
0.00,-0.28,0.06,0.67
0.00,-1.32,-0.36,-0.76
-1.32,0.00,0.15,-0.84
0.00,1.12,0.72,-0.17
-0.67,-0.16,-0.28,-0.92
-1.35,-1.51,-0.60,-0.33
0.00,1.75,-0.23,0.40
-0.11,-2.07,0.14,-0.81
0.00,-1.15,-0.42,1.51
-1.37,-1.65,#N/A,-0.55
-1.39,0.16,#N/A,-0.32
0.00,-0.81,0.21,1.01
0.00,0.01,0.21,-0.78
0.00,1.29,-0.25,-1.05
0.00,0.91,#N/A,-0.85
0.00,1.96,#N/A,1.47
0.00,-0.73,0.61,-0.07
-0.70,1.23,-0.26,0.30
-1.25,0.71,-0.11,0.10
0.19,-0.15,0.09,-1.55
0.54,1.19,-0.02,-1.09
-0.71,-0.14,0.61,-1.01
-1.32,0.62,-0.37,2.05
-1.75,1.17,0.45,-0.39
1.30,-0.01,0.27,0.03
2.55,-0.28,0.04,0.57
1.39,0.57,-0.26,-0.49
-1.62,0.38,0.22,-0.49
1.66,0.03,0.34,-0.34
1.45,0.31,0.01,0.67
1.85,0.07,-0.19,-0.05
-0.34,-0.07,0.02,-1.21
2.16,0.05,0.01,0.20
0.62,0.02,-0.10,1.88
3.19,0.07,0.37,-0.17
-0.64,0.51,0.01,0.31
0.00,-0.15,-0.30,0.18
2.93,0.20,0.10,0.10
0.74,0.52,-0.41,0.21
4.81,0.29,0.52,1.35
5.69,-0.12,0.31,-0.58
-3.57,0.28,-0.15,-0.44
-1.17,#N/A,-0.27,-0.40
0.00,#N/A,-0.40,0.38
